Configuration,TrueModelUpDown,TrueLocationP,TrueLocationQ,P0,Q0,P1,Q1,P2,Q2,P3,Q3,P4,Q4,P5,Q5,P6,Q6,P7,Q7,P8,Q8,P9,Q9
3,1,435,450,404,238,261,412,456,476,292,496,332,334,330,304,351,422,447,510,512,612,513,284
3,0,400,297,439,214,500,314,318,384,249,94,452,192,432,182,561,181,346,382,312,231,461,355
3,0,400,276,356,291,441,247,559,363,282,451,347,346,330,188,283,232,500,258,483,340,388,359
3,1,376,450,275,371,338,419,386,406,377,483,415,529,338,561,487,485,332,391,462,570,262,343
2,0,400,350,320,354,387,322,326,262,323,269,484,147,350,489,239,374,271,257,456,71,335,345
2,0,381,350,516,324,506,251,346,274,424,402,343,183,483,472,301,270,268,197,186,413,298,371
3,0,400,333,378,254,325,441,542,89,447,344,372,342,474,289,392,310,190,442,398,280,339,310
3,1,355,450,454,474,276,415,398,352,315,360,284,480,403,439,435,471,238,482,474,386,159,418
2,1,400,544,422,585,369,513,467,623,503,552,488,420,371,516,309,425,263,726,438,474,559,505
2,1,400,498,380,567,380,508,478,533,599,452,339,559,310,597,606,654,439,700,260,523,462,439
2,0,368,350,447,500,518,431,433,313,435,192,392,437,491,284,309,388,305,315,339,346,477,310
3,0,400,306,356,274,314,274,495,223,492,333,684,385,484,326,433,272,239,425,499,228,283,231
2,0,435,350,460,514,421,310,501,285,351,369,406,339,369,328,400,326,393,372,519,312,518,318
3,1,380,450,422,467,418,359,328,377,391,348,410,300,445,396,346,508,269,444,307,291,335,402
2,0,399,350,277,398,557,472,292,454,280,382,519,426,317,432,313,636,509,345,331,512,478,303
3,1,369,450,475,319,334,502,550,383,406,432,337,448,427,453,282,548,350,379,396,389,378,336
2,0,359,350,220,201,500,315,415,198,302,339,355,206,378,348,216,297,288,304,184,316,324,375
3,1,376,450,547,436,207,428,320,530,728,662,307,325,282,454,366,279,649,364,260,294,359,446
3,0,400,254,291,71,274,234,268,136,358,140,408,297,450,288,312,169,382,181,465,218,545,424
3,1,373,450,200,559,489,400,264,320,238,414,320,523,464,304,305,422,410,459,361,503,256,246
2,1,400,505,401,376,309,576,347,514,256,421,454,430,290,501,278,500,324,511,196,601,304,406
2,1,400,536,556,475,494,509,352,509,493,307,313,534,268,609,562,446,377,374,505,438,546,380
2,1,400,533,494,664,485,440,575,574,308,494,139,601,599,665,416,625,313,315,655,600,213,539
3,0,400,277,549,424,490,249,279,337,299,274,270,43,480,162,413,102,247,189,389,214,417,270
3,0,400,253,454,437,416,212,352,136,397,127,404,158,244,273,334,185,405,219,365,116,308,146
2,1,400,498,612,368,469,656,312,591,410,463,443,549,311,652,420,353,345,547,262,723,368,335
2,1,400,531,615,505,434,513,345,594,423,568,356,607,285,561,264,709,436,564,384,462,380,600
2,1,400,474,331,522,400,468,503,519,542,351,392,440,411,435,265,620,476,330,550,601,449,375
3,1,431,450,295,441,585,500,498,466,419,507,372,479,576,520,484,602,373,441,396,426,410,222
2,0,377,350,430,592,456,454,213,390,315,391,428,296,387,409,443,342,561,388,529,501,446,384
2,0,437,350,476,439,310,348,286,469,437,336,413,165,328,125,559,275,463,211,464,411,332,410
3,0,400,337,575,315,425,561,404,303,393,409,320,379,201,411,443,536,592,412,679,367,248,323
2,0,395,350,455,532,323,343,386,315,492,237,370,401,461,156,330,493,197,310,360,275,193,308
3,1,395,450,521,196,435,596,560,611,257,350,376,390,420,544,473,374,529,362,360,253,467,390
3,0,400,326,495,426,287,79,400,195,580,269,391,335,350,62,216,282,302,287,368,350,378,380
3,0,400,304,563,144,313,208,450,215,402,420,221,365,412,295,426,317,323,525,483,216,483,237
3,1,426,450,407,437,328,360,415,531,434,386,421,334,515,458,402,306,339,537,426,322,391,457
2,0,372,350,489,382,300,478,543,367,259,305,432,227,522,504,160,483,295,219,14,400,338,431
3,1,401,450,261,356,359,460,373,538,399,367,417,517,345,379,370,565,304,373,368,375,465,476
3,1,419,450,349,455,427,505,429,313,483,505,466,448,405,369,432,521,434,392,482,517,590,455
3,0,400,344,416,370,451,349,324,321,505,224,353,376,395,338,544,259,498,342,417,328,381,477
2,0,396,350,326,311,560,178,245,355,231,346,339,379,431,257,412,305,380,318,406,195,317,334
2,1,400,457,282,371,394,539,421,406,381,477,372,502,492,352,453,406,596,623,317,566,425,278
3,1,371,450,308,608,189,561,218,341,198,391,309,617,410,333,495,313,437,545,464,465,376,572
2,0,363,350,252,225,238,321,436,374,367,430,406,283,266,279,344,435,381,211,265,543,234,334
3,1,375,450,371,268,391,296,408,202,352,544,536,432,254,339,392,490,257,525,408,400,504,496
3,1,395,450,414,503,389,475,396,569,191,418,530,419,452,388,496,570,547,502,505,405,242,421
3,0,400,346,492,288,526,185,150,307,459,350,547,350,425,279,470,480,388,427,348,308,474,289
2,1,400,494,309,467,373,412,553,400,387,466,188,621,292,529,280,462,382,493,301,514,420,677
3,0,400,334,488,282,341,491,497,209,349,320,301,482,388,284,374,444,379,201,475,326,432,503
3,0,400,303,323,333,521,384,309,154,261,306,624,272,392,402,476,375,503,453,501,419,473,279
3,1,409,450,481,501,437,475,641,439,307,505,425,397,474,522,476,638,336,418,109,558,316,495
