Configuration,TrueModelUpDown,TrueLocationP,TrueLocationQ,P0,Q0,P1,Q1,P2,Q2,P3,Q3,P4,Q4,P5,Q5,P6,Q6,P7,Q7,P8,Q8,P9,Q9
3,0,400,251,439,290,506,115,532,165,656,278,441,393,511,456,383,185,290,139,544,181,287,302
2,0,403,350,529,107,516,338,203,495,494,335,393,398,361,314,502,355,223,412,303,441,555,393
2,0,369,350,414,379,452,343,452,495,177,318,226,401,405,406,407,376,493,233,410,351,125,292
2,0,429,350,433,388,360,389,360,313,289,530,325,270,492,539,221,328,505,487,463,305,280,320
2,1,400,451,526,535,542,487,307,399,552,341,257,388,482,721,236,431,351,439,369,345,499,455
2,0,447,350,329,282,435,282,621,473,390,336,355,268,474,315,489,264,526,317,434,317,276,362
3,1,433,450,566,402,357,394,464,458,474,444,501,523,493,349,370,538,490,364,303,404,325,559
2,1,400,478,384,402,303,456,401,392,335,468,315,557,477,703,341,516,527,422,482,501,408,643
2,0,420,350,397,167,291,499,127,399,427,307,348,274,454,296,286,282,479,420,402,379,306,344
2,0,429,350,331,449,376,260,444,412,431,327,260,292,455,313,496,390,246,366,474,364,532,358
3,1,425,450,406,237,582,497,515,430,333,428,440,535,491,542,318,535,403,403,330,422,262,486
3,0,400,306,95,174,404,284,69,189,623,377,409,252,392,244,353,373,425,277,550,376,477,226
3,1,426,450,417,422,498,609,460,568,470,454,403,498,161,440,553,377,414,513,421,258,476,343
2,0,429,350,265,422,531,425,427,498,547,560,396,240,492,227,534,390,485,353,465,472,304,492
2,0,359,350,260,185,254,398,268,440,407,326,330,363,520,340,197,189,559,375,339,434,339,263
3,0,400,299,411,383,354,215,300,408,332,539,400,170,418,326,366,174,446,291,472,428,464,422
3,0,400,349,312,603,368,260,315,318,462,254,226,289,391,441,283,287,395,332,120,286,404,419
2,1,400,493,342,603,383,455,329,568,363,609,395,415,369,423,423,633,302,559,390,537,263,565
2,0,364,350,286,296,210,353,444,491,501,471,524,512,284,445,303,309,406,436,245,234,470,333
2,1,400,453,438,370,696,544,482,312,402,534,385,401,260,499,255,536,548,550,429,426,270,528
3,0,400,338,454,279,475,348,422,379,163,235,349,299,500,174,370,315,340,351,365,393,574,357
3,1,378,450,592,337,404,510,359,556,501,364,442,284,393,476,314,336,278,551,111,442,515,574
2,1,400,522,257,344,372,457,302,533,369,537,411,671,338,525,324,416,462,370,514,629,317,510
3,0,400,295,469,137,569,285,533,263,502,305,366,251,393,595,361,312,314,309,265,395,137,324
2,0,370,350,456,250,350,355,408,325,414,319,367,391,364,201,427,290,477,291,729,433,268,227
2,1,400,531,438,426,533,592,460,757,448,499,394,511,363,481,341,554,284,537,351,589,431,531
3,0,400,252,356,406,373,229,504,293,516,347,279,331,423,301,497,323,421,238,383,344,246,271
3,1,380,450,454,452,510,604,572,413,529,664,353,465,406,406,512,570,150,400,431,392,544,519
2,0,367,350,402,505,348,444,462,455,372,416,296,305,451,292,455,419,213,330,436,377,309,272
3,0,400,343,448,258,256,262,332,291,493,292,298,298,309,348,410,444,327,347,452,262,529,262
2,0,370,350,339,236,137,531,233,404,402,465,382,301,427,438,319,411,280,541,437,392,304,271
3,0,400,313,547,320,553,186,356,279,448,215,494,384,607,293,425,272,453,345,208,336,306,385
2,0,355,350,410,120,571,328,365,342,303,356,376,148,271,304,424,386,533,287,315,473,343,437
3,0,400,346,302,279,531,258,174,350,371,173,448,264,500,458,290,392,85,306,377,383,393,473
3,1,450,450,421,363,657,260,626,395,608,565,540,493,466,462,492,318,421,465,415,384,333,447
3,0,400,315,558,480,390,286,421,239,266,311,492,297,348,247,550,256,444,248,295,496,252,133
3,0,400,335,285,421,448,115,424,373,522,468,411,346,556,431,209,257,390,355,481,253,235,341
2,1,400,460,592,494,250,516,491,583,486,462,650,578,386,475,362,332,335,402,549,581,445,468
2,1,400,511,253,448,245,476,344,554,480,372,526,605,263,378,488,588,189,478,351,443,441,628
2,0,438,350,463,367,509,346,475,429,206,300,508,352,419,284,412,485,228,377,257,222,513,463
3,0,400,327,548,159,423,257,372,247,320,418,439,252,318,297,416,275,332,332,340,305,205,399
2,0,431,350,449,287,495,325,377,233,411,217,361,164,534,261,477,207,594,366,327,301,249,512
3,0,400,268,515,184,464,378,484,370,383,291,396,164,232,263,339,139,427,108,442,321,423,301
2,0,367,350,465,416,481,304,355,541,291,438,444,351,442,458,449,234,391,476,348,327,455,388
3,0,400,327,378,394,493,377,338,278,523,491,408,318,315,387,398,287,392,431,475,317,563,206
2,0,445,350,296,261,468,264,555,507,467,558,433,361,352,359,523,393,492,405,424,301,439,581
2,0,442,350,456,372,496,337,417,302,456,307,517,268,319,550,333,316,670,330,317,183,321,289
3,0,400,337,387,344,342,209,352,447,417,420,253,295,542,419,497,455,313,196,272,408,267,332
3,1,397,450,472,487,427,493,470,451,464,373,299,232,445,443,333,520,625,640,459,458,542,572
3,1,395,450,521,348,514,302,532,387,618,676,260,397,365,366,558,405,585,453,355,144,323,294
2,1,400,451,518,416,639,320,525,336,351,344,381,295,502,655,395,599,479,311,439,554,585,490
2,1,400,508,403,591,237,359,426,456,486,377,471,706,339,379,193,548,252,509,404,461,369,626
2,0,361,350,444,377,327,331,415,400,318,567,429,107,444,389,436,427,337,259,455,482,290,384
2,0,401,350,354,386,272,192,418,446,519,317,388,303,440,332,423,285,296,279,335,479,288,307
3,1,355,450,246,337,321,391,309,387,222,581,208,407,440,364,494,265,288,542,428,400,443,422
3,0,400,332,438,384,341,225,472,428,544,323,517,373,349,364,401,265,497,308,482,352,455,266
2,1,400,495,325,370,350,475,407,585,407,695,392,492,493,359,299,407,276,491,521,599,311,392
3,1,432,450,419,539,482,460,629,239,499,462,262,536,482,365,550,612,426,432,506,498,366,566
2,1,400,458,329,398,498,428,396,397,435,342,375,499,536,464,462,598,409,501,499,461,453,692
2,0,360,350,403,251,235,363,288,274,285,209,382,373,143,333,132,339,383,273,202,303,490,274
2,0,431,350,577,380,546,301,436,312,432,222,540,204,436,471,411,291,444,272,435,385,359,384
3,1,390,450,275,207,475,375,479,376,407,416,412,363,430,559,458,637,297,429,317,538,488,537
2,0,387,350,354,429,398,379,377,425,359,271,308,191,416,450,534,477,398,233,352,437,393,319
2,1,400,465,474,577,455,453,468,578,367,457,549,366,498,421,286,411,531,458,453,478,341,598
2,1,400,490,538,598,459,414,544,443,321,339,548,432,537,563,420,519,578,638,459,559,324,467
2,0,380,350,410,228,326,587,461,456,511,211,604,458,365,406,282,431,460,287,490,528,377,393
3,1,411,450,387,547,334,347,450,583,315,286,344,270,320,482,408,488,500,589,549,438,509,479
3,1,352,450,376,334,350,638,611,492,354,354,388,603,566,543,249,486,387,248,269,315,188,611
2,0,364,350,320,455,324,331,259,388,355,250,437,304,359,439,432,285,260,410,435,460,173,284
2,0,351,350,348,344,383,372,365,227,247,273,199,419,311,256,427,607,426,320,207,369,370,358
2,1,400,508,387,473,537,449,566,485,484,496,388,548,498,517,419,610,390,432,469,491,340,509
3,0,400,278,403,161,563,294,448,465,519,511,195,223,306,367,450,316,347,197,352,367,305,309
