Configuration,TrueModelUpDown,TrueLocationP,TrueLocationQ,P0,Q0,P1,Q1,P2,Q2,P3,Q3,P4,Q4,P5,Q5,P6,Q6,P7,Q7,P8,Q8,P9,Q9
3,1,415,450,370,431,429,443,413,384,366,574,494,512,456,398,449,608,313,513,461,314,358,404
2,0,359,350,447,238,406,219,97,287,288,304,418,263,382,343,384,409,390,437,402,362,286,490
3,1,445,450,337,460,557,341,337,314,368,371,655,540,316,382,428,409,343,436,437,345,470,424
2,0,428,350,393,376,479,297,537,283,496,378,377,511,393,272,340,380,407,365,493,343,443,83
3,0,400,263,300,550,364,216,500,276,348,351,357,320,655,253,411,258,584,232,419,402,342,293
3,0,400,277,567,221,172,355,212,318,306,403,563,261,296,293,362,399,438,215,260,217,510,65
3,1,378,450,368,542,318,459,483,525,441,499,218,752,482,488,322,440,182,485,404,487,343,284
3,1,352,450,537,572,547,386,262,432,419,527,310,436,348,637,428,551,378,284,544,448,253,666
3,1,401,450,623,287,466,678,387,250,353,301,307,544,314,280,465,628,459,463,194,272,351,493
3,1,424,450,418,534,424,470,311,528,308,455,355,414,400,526,455,439,344,426,378,475,266,574
2,1,400,542,380,658,181,484,406,600,417,541,446,448,422,401,347,588,462,483,352,587,310,521
2,1,400,515,329,463,395,488,325,611,537,633,502,666,377,533,263,518,363,448,485,695,388,466
3,1,385,450,295,427,465,403,314,477,413,410,435,341,211,386,444,371,432,581,431,491,420,412
3,0,400,256,329,338,488,200,598,260,326,348,319,173,305,225,219,302,331,295,467,228,314,483
3,1,425,450,449,583,461,453,468,421,500,254,581,479,309,518,459,515,516,437,311,544,449,522
3,1,406,450,366,387,356,357,370,577,353,433,500,307,314,488,479,290,329,429,321,382,307,618
2,1,400,464,368,436,420,513,444,370,412,379,335,389,422,390,499,534,377,310,214,470,382,308
2,0,396,350,338,326,294,486,318,108,481,355,361,580,320,452,393,447,309,270,261,351,380,303
3,1,436,450,442,304,322,507,355,370,397,313,532,452,412,444,479,480,447,262,351,447,601,594
2,0,424,350,493,404,379,410,517,422,371,348,520,354,423,413,475,257,424,288,410,389,619,298
3,0,400,281,499,237,287,271,375,254,336,422,386,332,346,282,265,264,369,468,487,334,452,169
2,1,400,455,471,449,290,528,374,509,253,422,559,513,357,416,571,413,359,351,459,411,463,330
3,0,400,340,270,251,398,371,470,239,417,270,378,339,448,260,394,334,561,488,344,306,552,369
3,0,400,280,269,389,415,401,415,404,324,444,381,411,481,132,273,166,352,371,324,388,403,198
3,0,400,327,472,242,409,300,353,299,318,329,703,323,594,300,344,227,343,201,448,373,485,312
2,1,400,519,421,576,526,564,231,538,417,443,372,547,295,308,202,337,307,381,281,351,440,552
2,0,358,350,305,153,373,283,236,314,356,330,416,449,372,287,403,388,318,409,480,355,308,301
3,1,381,450,231,711,348,569,457,470,358,441,351,486,469,474,349,451,475,377,382,461,535,392
3,1,421,450,444,633,322,524,526,467,457,489,347,712,394,541,247,421,418,474,366,288,408,425
3,0,400,314,375,420,313,258,324,523,416,364,313,233,206,225,384,203,570,338,506,297,470,300
3,0,400,293,171,290,304,441,380,332,518,386,409,281,522,403,479,202,405,451,272,334,382,137
2,1,400,505,314,451,518,345,404,534,457,700,333,468,399,491,203,399,356,199,403,539,407,467
3,1,401,450,595,352,226,417,579,227,322,420,399,337,539,537,421,353,247,332,487,448,295,528
3,1,380,450,562,324,381,474,384,432,280,600,474,293,177,400,532,432,432,515,455,378,578,477
2,0,412,350,333,254,440,185,426,397,408,354,314,341,443,345,147,297,418,276,516,146,474,385
3,1,450,450,508,581,485,500,218,444,380,315,550,400,478,390,542,589,472,499,265,521,401,413
3,0,400,260,190,267,377,336,301,154,351,211,399,136,441,324,551,301,335,289,491,433,500,217
2,0,402,350,559,300,452,322,399,343,363,640,389,244,512,360,501,340,480,303,316,184,451,288
3,1,429,450,549,435,403,330,474,611,453,284,419,528,384,569,481,419,585,319,414,374,335,458
2,1,400,466,323,660,462,464,437,523,304,689,203,301,464,499,482,624,311,313,560,593,327,542
2,1,400,480,380,296,345,456,600,579,464,360,275,550,354,360,493,241,415,539,418,469,545,297
3,1,431,450,293,520,305,473,644,398,500,470,665,302,489,377,432,502,453,404,474,441,494,532
3,0,400,331,265,307,365,306,278,262,224,413,468,497,235,205,411,236,448,220,498,147,291,402
3,0,400,274,338,348,365,258,418,245,264,352,465,460,330,256,414,261,474,269,517,82,370,356
2,1,400,513,366,391,340,475,320,371,654,396,318,554,249,445,413,536,315,672,370,521,506,521
3,0,400,290,159,354,548,169,248,400,248,136,329,433,559,511,322,368,360,246,455,333,472,129
3,0,400,258,301,262,325,148,403,135,316,307,357,167,387,97,361,349,299,196,467,248,570,358
3,0,400,264,426,96,295,194,345,271,331,437,378,274,282,156,307,281,268,73,379,118,272,478
3,1,350,450,283,506,292,538,569,283,311,443,385,491,208,615,262,523,482,425,262,454,355,315
3,0,400,313,576,255,276,449,339,335,406,313,436,447,513,320,214,284,286,320,429,187,381,302
2,1,400,523,354,482,317,653,332,702,429,455,537,538,377,590,400,333,319,536,546,430,312,581
3,1,405,450,372,229,556,549,416,469,284,443,464,349,341,552,376,255,382,595,387,621,496,432
2,1,400,506,328,549,483,499,430,586,393,548,319,414,292,429,445,526,318,372,528,571,467,324
2,0,416,350,464,259,303,370,551,178,282,165,511,438,263,326,449,351,241,440,472,398,594,464
3,1,440,450,385,525,443,445,330,320,385,553,265,479,399,369,284,557,563,265,555,705,590,308
2,0,422,350,246,272,583,127,485,438,472,289,485,257,221,460,372,595,505,414,443,616,501,440
2,0,396,350,340,221,224,379,568,471,212,334,308,253,279,395,598,513,395,375,303,397,416,399
3,0,400,302,452,388,287,298,229,366,312,248,392,294,454,439,352,330,170,431,387,287,243,361
