Configuration,TrueModelUpDown,TrueLocationP,TrueLocationQ,P0,Q0,P1,Q1,P2,Q2,P3,Q3,P4,Q4,P5,Q5,P6,Q6,P7,Q7,P8,Q8,P9,Q9
2,0,370,350,501,350,414,230,385,255,295,434,174,403,459,197,307,440,489,326,512,276,379,250
3,0,400,255,319,240,478,343,597,331,429,133,417,270,529,323,418,225,333,590,229,338,371,325
2,1,400,497,662,404,339,444,373,594,499,595,444,474,359,507,414,539,454,651,293,480,439,624
3,1,414,450,311,552,166,544,378,435,524,359,463,323,347,387,296,405,461,422,352,501,357,438
3,1,355,450,153,571,476,473,136,390,490,554,168,471,397,510,454,562,379,354,132,452,354,419
2,0,423,350,519,460,513,380,391,341,490,209,331,223,300,292,577,273,505,460,454,542,641,387
2,0,367,350,354,349,268,325,367,355,359,371,188,456,344,306,265,392,501,184,324,549,409,318
3,0,400,301,466,441,321,224,311,442,331,277,536,394,119,320,346,289,361,322,601,337,364,262
2,1,400,495,470,623,449,572,383,413,530,703,369,515,280,445,423,468,583,425,261,595,568,673
2,0,445,350,321,329,499,226,395,440,436,334,624,540,311,496,326,525,399,358,371,229,401,512
2,0,386,350,258,355,280,330,370,442,504,386,512,373,552,457,326,338,436,372,444,401,530,344
3,1,366,450,393,386,443,429,429,550,283,454,384,439,279,558,423,504,352,453,450,280,571,434
2,0,433,350,547,286,393,271,444,384,405,340,445,329,349,398,549,365,315,384,438,393,382,418
2,1,400,523,633,523,529,716,287,357,337,646,439,477,607,300,396,548,488,577,360,661,385,614
2,1,400,490,475,594,366,427,342,523,333,383,241,508,624,488,387,500,297,664,436,454,314,519
2,1,400,490,278,530,379,492,377,548,292,231,309,356,360,361,296,468,304,548,446,614,470,608
2,0,354,350,320,318,257,305,346,336,283,393,496,332,341,349,339,415,437,427,349,335,375,345
2,1,400,503,362,365,315,461,291,368,418,397,268,376,465,431,627,547,406,426,469,567,451,414
2,0,438,350,432,253,454,281,535,416,681,183,536,366,316,194,280,443,518,358,365,311,403,458
2,1,400,537,354,411,253,658,331,533,557,548,446,571,471,425,91,533,287,514,328,683,264,564
3,1,406,450,406,431,448,372,422,524,340,488,401,345,548,583,373,445,389,468,366,453,492,627
3,1,414,450,403,546,301,450,324,520,432,609,325,514,435,384,534,487,333,473,273,716,358,413
2,0,402,350,261,364,327,327,346,470,347,476,448,404,437,314,300,497,464,332,481,404,445,430
2,0,430,350,352,260,302,306,613,492,662,400,357,431,429,477,199,417,239,271,568,350,385,352
2,0,400,350,381,322,413,294,380,451,484,338,313,364,561,278,442,427,347,336,326,343,387,256
